"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"5401","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.01,"p < .01"
"6380","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.001,"p < .001"
"7361","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.05,"p < .05"
"8350","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.01,"p < .01"
"9273","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.001,"p < .001"
"10228","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.05,"p < .05"
"11263","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.01,"p < .01"
"12227","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.001,"p < .001"
"13194","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.05,"p < .05"
"14179","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.01,"p < .01"
"15163","The Ties That Bind  Midlife Parents' Daily Experiences With Grown Children - Fingerman - 2015","p","<",0.001,"p < .001"
"11074","The Transition to Parent Care  Costs, Commitments, and Caregiver Selection Among Children - Leopold - 2014","p","<",0.1,"p < .10"
"2693","The Transition to Parent Care  Costs, Commitments, and Caregiver Selection Among Children - Leopold - 2014","p","<",0.05,"p < .05"
"3492","The Transition to Parent Care  Costs, Commitments, and Caregiver Selection Among Children - Leopold - 2014","p","<",0.01,"p < .01"
"4440","The Transition to Parent Care  Costs, Commitments, and Caregiver Selection Among Children - Leopold - 2014","p","<",0.001,"p < .001"
"11075","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.001,"p < .001"
"2694","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.05,"p < .05"
"3493","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.01,"p < .01"
"4441","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.001,"p < .001"
"5402","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.05,"p < .05"
"6381","The Widening Education Gap in Developmental Child Care Activities in the United States, 1965–2013 - Altintas - 2015","p","<",0.05,"p < .05"
"11076","Theorizing and Analyzing Citizenship in Multicultural Societies - Bloemraad","p","<",0.01,"p < 0.01"
"11077","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"2695","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"3494","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"4442","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"5403","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"6382","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"7362","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"8351","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"9274","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"10229","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"11264","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"12228","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"13195","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"14180","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"15164","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"16150","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"17141","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"18132","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"19124","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"20106","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"21162","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"22144","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.05,"p < .05"
"23128","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.01,"p < .01"
"24117","Tiantian Yang, Howard E. Aldrich, 2014","p","<",0.001,"p < .001"
"11078","Tim Bartley, Curtis Child, 2014","p","<",0.05,"p < .05"
"2696","Tim Bartley, Curtis Child, 2014","p","<",0.01,"p < .01"
"3495","Tim Bartley, Curtis Child, 2014","p","<",0.001,"p < .001"
"4443","Tim Bartley, Curtis Child, 2014","p","<",0.05,"p < .05"
"5404","Tim Bartley, Curtis Child, 2014","p","<",0.01,"p < .01"
"6383","Tim Bartley, Curtis Child, 2014","p","<",0.001,"p < .001"
"11079","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"2697","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"3496","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"4444","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"5405","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"6384","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"7363","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"8352","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"9275","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"10230","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.01,"p < .01"
"11265","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.001,"p < .001"
"12229","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"13196","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.01,"p < .01"
"14181","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.001,"p < .001"
"15165","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"16151","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"17142","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.05,"p < .05"
"18133","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.01,"p < .01"
"19125","Time for Each Other  Work and Family Constraints Among Couples - Flood - 2015","p","<",0.001,"p < .001"
"11080","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"2698","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3497","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"4445","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"5406","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"6385","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"7364","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"8353","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"9276","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"10231","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"11266","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.01,"p < .01"
"12230","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"13197","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.01,"p < .01"
"14182","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"15166","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"16152","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"17143","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"18134","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"19126","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.01,"p < .01"
"20107","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"21163","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"22145","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"23129","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"24118","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"25108","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"2699","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"2760","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.1,"p < .10"
"2855","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"2950","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3048","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.01,"p < .01"
"31127","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"32114","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"33106","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3498","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3538","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3636","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.05,"p < .05"
"3735","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"3835","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"3933","Timothy L. O’Brien, Shiri Noy, 2015","p","<",0.001,"p < .001"
"11081","Tobias Schröder, Jesse Hoey, Kimberly B. Rogers, 2016","p","<",0.01,"p < .01"
"2700","Tobias Schröder, Jesse Hoey, Kimberly B. Rogers, 2016","p","ns",NA,"(NS"
"11082","Tony P. Love, Jenny L. Davis, 2014","p","=",0.027,"p = .027"
"2701","Tony P. Love, Jenny L. Davis, 2014","p","=",0.017,"p = .017"
"3499","Tony P. Love, Jenny L. Davis, 2014","p","=",0.193,"p = .193"
"4446","Tony P. Love, Jenny L. Davis, 2014","p","=",0.037,"p = .037"
"5407","Tony P. Love, Jenny L. Davis, 2014","p","=",0.323,"p = .323"
"11083","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"2702","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"3500","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"4447","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"5408","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"6386","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"7365","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"8354","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"9277","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < 0.01"
"10232","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < 0.05"
"11267","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < 0.01"
"12231","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"13198","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"14183","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"15167","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"16153","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"17144","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"18135","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.05,"P < .05"
"19127","Toward Open Societies  Trends in Male Intergenerational Class Mobility in European Countries during Industrialization","p","",0.01,"P < .01"
"11084","Toward Organizational Ambidexterity... - Úbeda-García, Claver-Cortés, Marco-Lajara, Zaragoza-Sáez, 2016","p","<",0.01,"p < .01"
"2703","Toward Organizational Ambidexterity... - Úbeda-García, Claver-Cortés, Marco-Lajara, Zaragoza-Sáez, 2016","p","<",0.001,"p < .001"
"11085","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0,"p = .000"
"2704","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.14,"p = .14"
"3501","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.65,"p = .65"
"4448","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.57,"p = .57"
"5409","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"6387","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"7366","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.01,"p < .01"
"8355","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"9278","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"10233","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"11268","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.01,"p < .01"
"12232","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"13199","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.008,"p < .008"
"14184","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"15168","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"16154","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.01,"p < .01"
"17145","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"18136","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.008,"p < .008"
"19128","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"20108","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.008,"p < .008"
"21164","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"22146","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.05,"p < .05"
"23130","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.008,"p < .008"
"24119","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.03,"p = .03"
"25109","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.04,"p = .04"
"26100","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","ns",NA," ns"
"2761","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","<",0.01,"p < .01"
"2856","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.03,"p = .03"
"2951","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","ns",NA," ns"
"3049","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","ns",NA," ns"
"31128","Transition to Grandparenthood and Job-Related Attitudes  Do Grandparental Sex and Lineage Matter  - Wiese - 2016","p","=",0.02,"p = .02"
"11086","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA,"(NS"
"2705","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA,"/ns"
"3502","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"4449","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"5418","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"6388","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"7367","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"8356","Trends in Cohabitation Outcomes  Compositional Changes and Engagement Among Never-Married Young Adults - Guzzo - 2014","p","ns",NA," NS"
"11087","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"2706","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"3503","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"4450","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"5419","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"6389","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"7368","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"8357","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"9279","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"10234","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"11269","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"12233","Trenton D. Mize, 2016","p","=",0.06,"p = .06"
"13200","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"14185","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"15169","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"16155","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"17146","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"18137","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"19129","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"20109","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"21165","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"22147","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"23131","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"24120","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"25110","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"26101","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"2762","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"2857","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"2952","Trenton D. Mize, 2016","p","=",0.07,"p = .07"
"3050","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"31129","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"32115","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"33107","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"34100","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"3539","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"3637","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"3736","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"3836","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"3934","Trenton D. Mize, 2016","p","=",0.06,"p = .06"
"4031","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"41114","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"42106","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"43102","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"4451","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"4527","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"4627","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"4725","Trenton D. Mize, 2016","p","<",0.01,"p < .01"
"4824","Trenton D. Mize, 2016","p","<",0.001,"p < .001"
"4923","Trenton D. Mize, 2016","p","<",0.05,"p < .05"
"5022","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"51104","Trenton D. Mize, 2016","p","<",0.1,"p < .10"
"11088","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.05,"p < .05"
"2707","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.28,"p = .28"
"3504","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.05,"p < .05"
"4452","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.5,"p = .50"
"5420","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.96,"p =.96"
"6390","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.95,"p = .95"
"7369","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"8358","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"9280","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"10235","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"11270","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"12234","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"13201","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"14186","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.8,"p =.80"
"15170","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","=",0.53,"p = .53"
"16156","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"17147","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"18138","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"19130","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"20110","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"21166","Understanding Perceptions of E-cigarette Use in Shared Consumption Spaces - Line, Hanks, Miao, Daniell, 2016","p","<",0.001,"p < .001"
"11089","Urbanization as Socioenvironmental Succession","p","",0.001,"P<.001"
"2708","Urbanization as Socioenvironmental Succession","p","",0.05,"P < .05"
"3505","Urbanization as Socioenvironmental Succession","p","",0.1,"P < .10"
"4453","Urbanization as Socioenvironmental Succession","p","",0.05,"P < .05"
"5421","Urbanization as Socioenvironmental Succession","p","",0.1,"P < .10"
"6391","Urbanization as Socioenvironmental Succession","p","",0.05,"P < .05"
"11090","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.001,"p < .001"
"2709","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.001,"p < .001"
"3506","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.001,"p < .001"
"4454","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.001,"p < .001"
"5422","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"6392","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"7370","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.01,"p < .01"
"8359","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","ns",NA," ns"
"9281","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"10236","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"11271","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"12235","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.01,"p < .01"
"13202","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","ns",NA," ns"
"14187","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"15171","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.01,"p < .01"
"16157","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"17148","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.05,"p < .05"
"18139","Using Comparative Advertising to Promote Technology-Based Hospitality Services - Liu, Mattila, 2016","p","<",0.01,"p < .01"
